Date,Close,Ticker
3/3/2015,572.07,GOOG
3/4/2015,571.8,GOOG
3/5/2015,573.75,GOOG
3/6/2015,566.13,GOOG
3/9/2015,567.29,GOOG
3/10/2015,553.49,GOOG
3/11/2015,549.67,GOOG
3/12/2015,553.99,GOOG
3/13/2015,545.82,GOOG
3/16/2015,552.99,GOOG
3/17/2015,549.33,GOOG
3/18/2015,557.97,GOOG
3/19/2015,556.46,GOOG
3/20/2015,558.83,GOOG
3/23/2015,557.28,GOOG
3/24/2015,568.63,GOOG
3/25/2015,557.25,GOOG
3/26/2015,553.65,GOOG
3/27/2015,546.84,GOOG
3/30/2015,550.52,GOOG
3/31/2015,546.5,GOOG
4/1/2015,541.07,GOOG
4/2/2015,534.06,GOOG
4/6/2015,535.29,GOOG
4/7/2015,535.55,GOOG
4/8/2015,540.13,GOOG
4/9/2015,539.3,GOOG
4/10/2015,538.53,GOOG
4/13/2015,537.69,GOOG
4/14/2015,528.94,GOOG
4/15/2015,531.07,GOOG
4/16/2015,532.34,GOOG
4/17/2015,522.62,GOOG
4/20/2015,533.91,GOOG
4/21/2015,532.51,GOOG
4/22/2015,537.89,GOOG
4/23/2015,545.5,GOOG
4/24/2015,563.51,GOOG
4/27/2015,555.37,GOOG
4/28/2015,553.68,GOOG
4/29/2015,549.08,GOOG
4/30/2015,537.34,GOOG
5/1/2015,537.9,GOOG
5/4/2015,540.78,GOOG
5/5/2015,530.8,GOOG
5/6/2015,524.22,GOOG
5/7/2015,530.7,GOOG
5/8/2015,538.22,GOOG
5/11/2015,535.7,GOOG
5/12/2015,529.04,GOOG
5/13/2015,529.62,GOOG
5/14/2015,538.4,GOOG
5/15/2015,533.85,GOOG
5/18/2015,532.3,GOOG
5/19/2015,537.36,GOOG
5/20/2015,539.27,GOOG
5/21/2015,542.51,GOOG
5/22/2015,540.11,GOOG
5/26/2015,532.32,GOOG
5/27/2015,539.79,GOOG
5/28/2015,539.78,GOOG
5/29/2015,532.11,GOOG
6/1/2015,533.99,GOOG
6/2/2015,539.18,GOOG
6/3/2015,540.31,GOOG
6/4/2015,536.7,GOOG
6/5/2015,533.33,GOOG
6/8/2015,526.83,GOOG
6/9/2015,526.69,GOOG
6/10/2015,536.69,GOOG
6/11/2015,534.61,GOOG
6/12/2015,532.33,GOOG
6/15/2015,527.2,GOOG
6/16/2015,528.15,GOOG
6/17/2015,529.26,GOOG
6/18/2015,536.73,GOOG
6/19/2015,536.69,GOOG
6/22/2015,538.19,GOOG
6/23/2015,540.48,GOOG
6/24/2015,537.84,GOOG
6/25/2015,535.23,GOOG
6/26/2015,531.69,GOOG
6/29/2015,521.52,GOOG
6/30/2015,520.51,GOOG
7/1/2015,521.84,GOOG
7/2/2015,523.4,GOOG
7/6/2015,522.86,GOOG
7/7/2015,525.02,GOOG
7/8/2015,516.83,GOOG
7/9/2015,520.68,GOOG
7/10/2015,530.13,GOOG
7/13/2015,546.55,GOOG
7/14/2015,561.1,GOOG
7/15/2015,560.22,GOOG
7/16/2015,579.85,GOOG
7/17/2015,672.93,GOOG
7/20/2015,663.02,GOOG
7/21/2015,662.3,GOOG
7/22/2015,662.1,GOOG
7/23/2015,644.28,GOOG
7/24/2015,623.56,GOOG
7/27/2015,627.26,GOOG
7/28/2015,628,GOOG
7/29/2015,631.93,GOOG
7/30/2015,632.59,GOOG
7/31/2015,625.61,GOOG
8/3/2015,631.21,GOOG
8/4/2015,629.25,GOOG
8/5/2015,643.78,GOOG
8/6/2015,642.68,GOOG
8/7/2015,635.3,GOOG
8/10/2015,633.73,GOOG
8/11/2015,660.78,GOOG
8/12/2015,659.56,GOOG
8/13/2015,656.45,GOOG
8/14/2015,657.12,GOOG
8/17/2015,660.87,GOOG
8/18/2015,656.13,GOOG
8/19/2015,660.9,GOOG
8/20/2015,646.83,GOOG
8/21/2015,612.48,GOOG
8/24/2015,589.61,GOOG
8/25/2015,582.06,GOOG
8/26/2015,628.62,GOOG
8/27/2015,637.61,GOOG
8/28/2015,630.38,GOOG
8/31/2015,618.25,GOOG
9/1/2015,597.79,GOOG
9/2/2015,614.34,GOOG
9/3/2015,606.25,GOOG
9/4/2015,600.7,GOOG
9/8/2015,614.66,GOOG
9/9/2015,612.72,GOOG
9/10/2015,621.35,GOOG
9/11/2015,625.77,GOOG
9/14/2015,623.24,GOOG
9/15/2015,635.14,GOOG
9/16/2015,635.98,GOOG
9/17/2015,642.9,GOOG
9/18/2015,629.25,GOOG
9/21/2015,635.44,GOOG
9/22/2015,622.69,GOOG
9/23/2015,622.36,GOOG
9/24/2015,625.8,GOOG
9/25/2015,611.97,GOOG
9/28/2015,594.89,GOOG
9/29/2015,594.97,GOOG
9/30/2015,608.42,GOOG
10/1/2015,611.29,GOOG
10/2/2015,626.91,GOOG
10/5/2015,641.47,GOOG
10/6/2015,645.44,GOOG
10/7/2015,642.36,GOOG
10/8/2015,639.16,GOOG
10/9/2015,643.61,GOOG
10/12/2015,646.67,GOOG
10/13/2015,652.3,GOOG
10/14/2015,651.16,GOOG
10/15/2015,661.74,GOOG
10/16/2015,662.2,GOOG
10/19/2015,666.1,GOOG
10/20/2015,650.28,GOOG
10/21/2015,642.61,GOOG
10/22/2015,651.79,GOOG
10/23/2015,702,GOOG
10/26/2015,712.78,GOOG
10/27/2015,708.49,GOOG
10/28/2015,712.95,GOOG
10/29/2015,716.92,GOOG
10/30/2015,710.81,GOOG
11/2/2015,721.11,GOOG
11/3/2015,722.16,GOOG
11/4/2015,728.11,GOOG
11/5/2015,731.25,GOOG
11/6/2015,733.76,GOOG
11/9/2015,724.89,GOOG
11/10/2015,728.32,GOOG
11/11/2015,735.4,GOOG
11/12/2015,731.23,GOOG
11/13/2015,717,GOOG
11/16/2015,728.96,GOOG
11/17/2015,725.3,GOOG
11/18/2015,740,GOOG
11/19/2015,738.41,GOOG
11/20/2015,756.6,GOOG
11/23/2015,755.98,GOOG
11/24/2015,748.28,GOOG
11/25/2015,748.15,GOOG
11/27/2015,750.26,GOOG
11/30/2015,742.6,GOOG
12/1/2015,767.04,GOOG
12/2/2015,762.38,GOOG
12/3/2015,752.54,GOOG
12/4/2015,766.81,GOOG
12/7/2015,763.25,GOOG
12/8/2015,762.37,GOOG
12/9/2015,751.61,GOOG
